subject_id,session_name,victimized,n_kinfc,alternates,event_validation,n_cycles,n_left_cycles,n_right_cycles,n_pass,n_pass_with_warnings,n_fail,n_usable_lower_body,n_normalized_ok
S40,WU04,N,5,True,PASS,3,2,1,3,0,0,3,3
S40,WU05,N,6,True,PASS,4,2,2,4,0,0,4,4
S40,WU07,N,7,True,PASS,5,2,3,5,0,0,5,5
S40,WU09,N,6,True,PASS,4,2,2,4,0,0,4,4
S40,WU11,N,6,True,PASS,4,2,2,4,0,0,4,4
S41,WU01,N,6,True,PASS,4,2,2,4,0,0,4,4
S41,WU02,N,6,True,PASS,4,2,2,4,0,0,4,4
S41,WU03,N,4,True,PASS,2,1,1,2,0,0,2,2
S41,WU04,N,4,True,PASS,2,1,1,2,0,0,2,2
S41,WU05,N,5,True,PASS,3,2,1,3,0,0,3,3
S41,WU06,N,5,True,PASS,3,2,1,3,0,0,3,3
S41,WU07,N,5,True,PASS,3,1,2,3,0,0,3,3
S41,WU08,N,5,True,PASS,3,1,2,3,0,0,3,3
S42,WU01,N,8,True,PASS,6,3,3,6,0,0,6,6
S42,WU02,N,6,True,PASS,4,2,2,4,0,0,4,4
S42,WU03,N,7,True,PASS,5,2,3,5,0,0,5,5
S42,WU04,N,7,True,PASS,5,2,3,5,0,0,5,5
S42,WU05,N,7,True,PASS,5,2,3,5,0,0,5,5
S42,WU08,N,7,True,PASS,5,2,3,5,0,0,5,5
S43,WU01,N,5,True,PASS,3,2,1,3,0,0,3,3
S43,WU02,N,4,True,PASS,2,1,1,2,0,0,2,2
S43,WU03,N,5,True,PASS,3,2,1,3,0,0,3,3
S43,WU04,N,4,True,PASS,2,1,1,2,0,0,2,2
S43,WU05,N,6,True,PASS,4,2,2,4,0,0,4,4
S43,WU06,N,5,True,PASS,3,2,1,3,0,0,3,3
S46,WU01,Y,4,True,PASS,2,1,1,2,0,0,2,2
S46,WU02,Y,6,True,PASS,4,2,2,4,0,0,4,4
S46,WU03,Y,7,True,PASS,5,3,2,5,0,0,5,5
S46,WU04,Y,4,True,PASS,2,1,1,2,0,0,2,2
S46,WU05,Y,7,True,PASS,5,2,3,5,0,0,5,5
S46,WU06,Y,6,True,PASS,4,2,2,4,0,0,4,4
S46,WU08,Y,6,True,PASS,4,2,2,4,0,0,4,4
S46,WU11,Y,7,True,PASS,5,2,3,5,0,0,5,5
S46,WU14,Y,6,True,PASS,4,2,2,4,0,0,4,4
S48,WU01,N,5,True,PASS,3,2,1,3,0,0,3,3
S48,WU02,N,6,True,PASS,4,2,2,4,0,0,4,4
S48,WU03,N,4,True,PASS,2,1,1,2,0,0,2,2
S48,WU04,N,6,True,PASS,4,2,2,4,0,0,4,4
S48,WU05,N,5,True,PASS,3,2,1,3,0,0,3,3
S48,WU07,N,6,True,PASS,4,2,2,4,0,0,4,4
S48,WU09,N,5,True,PASS,3,1,2,3,0,0,3,3
S48,WU10,N,5,True,PASS,3,2,1,3,0,0,3,3
S48,WU11,N,6,True,PASS,4,2,2,4,0,0,4,4
S48,WU12,N,5,True,PASS,3,2,1,3,0,0,3,3
