feature,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift
RAnkleAngles_ax1_phase_60_70_max__median,0.19327731092436976,0.19457013574660634,0.13122171945701358,0.2669683257918552,1.0,0.07369101486748544
RAnkleAngles_ax1_phase_60_70_rom__median,0.09243697478991597,0.08035714285714286,0.03167420814479638,0.16071428571428573,1.0,0.06827731092436976
RAnkleAngles_ax1_phase_70_80_rom__median,0.058823529411764705,0.0625,-0.013574660633484163,0.14027149321266968,0.8387096774193549,0.08144796380090498
RAnkleAngles_ax1_phase_80_90_min__median,0.03361344537815126,0.044642857142857144,-0.03167420814479638,0.09821428571428571,0.7096774193548387,0.06528765352294763
RAnkleAngles_ax1_phase_80_90_rom__median,0.17647058823529413,0.1875,0.11312217194570136,0.248868778280543,1.0,0.07239819004524886
RAnkleAngles_ax1_phase_90_100_rom__median,-0.226890756302521,-0.20535714285714285,-0.3212669683257919,-0.18552036199095023,1.0,0.09437621202327087
coord_left_hip_knee_ax1_corr__median,0.01680672268907563,0.03167420814479638,-0.058823529411764705,0.08597285067873303,0.6129032258064516,0.07563025210084033
coord_left_knee_ankle_ax1_corr__median,0.10084033613445378,0.10714285714285714,0.03167420814479638,0.17647058823529413,1.0,0.07563025210084034
coord_left_knee_ankle_ax1_lag_pct__median,-0.008403361344537815,0.008928571428571428,-0.08597285067873303,0.05429864253393665,0.4838709677419355,0.07756948933419522
coord_right_hip_knee_ax1_corr__median,0.2184873949579832,0.21266968325791855,0.1583710407239819,0.3031674208144796,1.0,0.08468002585649642
coord_right_knee_ankle_ax1_corr__median,-0.025210084033613446,-0.026785714285714284,-0.10407239819004525,0.03167420814479638,0.6451612903225806,0.0788623141564318
coord_right_knee_ankle_ax1_lag_pct__median,0.21428571428571427,0.2081447963800905,0.16289592760180996,0.3031674208144796,1.0,0.08888170652876534
COM_msjerk__median,0.2773109243697479,0.27601809954751133,0.22171945701357465,0.3665158371040724,1.0,0.08920491273432446
RKneeAngles_ax1_msjerk__median,0.3277310924369748,0.3125,0.2850678733031674,0.4107142857142857,1.0,0.08298319327731091
sym_HipAngles_ax1_rom_absdiff,-0.33613445378151263,-0.33031674208144796,-0.4117647058823529,-0.2850678733031674,1.0,0.07563025210084029
sym_HipAngles_ax1_rom_si,-0.3025210084033613,-0.29464285714285715,-0.3936651583710407,-0.248868778280543,1.0,0.09114414996767939
sym_HipAngles_ax1_max_absdiff,-0.14285714285714285,-0.1493212669683258,-0.22171945701357465,-0.07692307692307693,1.0,0.0788623141564318
sym_HipAngles_ax1_max_si,-0.3277310924369748,-0.3125,-0.4298642533936652,-0.27601809954751133,1.0,0.1021331609566904
sym_HipAngles_ax1_tmax_pct_absdiff,-0.4117647058823529,-0.3936651583710407,-0.4955357142857143,-0.37104072398190047,1.0,0.08377100840336138
sym_HipAngles_ax1_tmax_pct_si,-0.2689075630252101,-0.28125,-0.32142857142857145,-0.21266968325791855,1.0,0.056237879767291526
sym_KneeAngles_ax1_rom_absdiff,-0.06722689075630252,-0.0625,-0.1493212669683258,-0.013574660633484163,1.0,0.08209437621202327
sym_KneeAngles_ax1_rom_si,-0.07563025210084033,-0.07692307692307693,-0.1493212669683258,-0.013574660633484163,1.0,0.07369101486748546
sym_KneeAngles_ax1_max_absdiff,0.0,-0.013574660633484163,-0.06787330316742081,0.07692307692307693,0.03225806451612903,0.07692307692307693
sym_KneeAngles_ax1_max_si,0.008403361344537815,0.004524886877828055,-0.06787330316742081,0.08597285067873303,0.5806451612903226,0.07756948933419522
sym_KneeAngles_ax1_tmax_pct_absdiff,-0.07563025210084033,-0.08597285067873303,-0.12669683257918551,-0.004524886877828055,1.0,0.07110536522301228
sym_KneeAngles_ax1_tmax_pct_si,-0.22268907563025211,-0.22171945701357465,-0.3167420814479638,-0.18099547511312217,1.0,0.09405300581771167
sym_AnkleAngles_ax1_rom_absdiff,-0.12605042016806722,-0.13122171945701358,-0.20361990950226244,-0.06787330316742081,1.0,0.07756948933419522
sym_AbsAnkleAngle_ax1_rom_si,-0.058823529411764705,-0.0625,-0.13122171945701358,0.013574660633484163,0.9032258064516129,0.07239819004524888
sym_AnkleAngles_ax1_max_absdiff,-0.008403361344537815,0.004524886877828055,-0.08597285067873303,0.06787330316742081,0.41935483870967744,0.07756948933419522
sym_AnkleAngles_ax1_max_si,-0.025210084033613446,-0.026785714285714284,-0.10407239819004525,0.04072398190045249,0.6451612903225806,0.0788623141564318
sym_AnkleAngles_ax1_tmax_pct_absdiff,-0.037815126050420166,-0.058823529411764705,-0.09502262443438914,0.03619909502262444,0.7096774193548387,0.0740142210730446
sym_AnkleAngles_ax1_tmax_pct_si,-0.3277310924369748,-0.32589285714285715,-0.4107142857142857,-0.2850678733031674,1.0,0.08298319327731091
sym_AbsAnkleAngle_ax1_rom_absdiff,-0.1092436974789916,-0.10407239819004525,-0.19457013574660634,-0.04072398190045249,1.0,0.08532643826761474
sym_AbsAnkleAngle_ax1_max_absdiff,0.15126050420168066,0.13392857142857142,0.09502262443438914,0.2398190045248869,1.0,0.08855850032320622
sym_AbsAnkleAngle_ax1_max_si,0.058823529411764705,0.058823529411764705,-0.013574660633484163,0.14027149321266968,0.9354838709677419,0.08144796380090498
sym_AbsAnkleAngle_ax1_tmax_pct_absdiff,0.1134453781512605,0.1085972850678733,0.06334841628959276,0.19909502262443438,1.0,0.08564964447317387
sym_AbsAnkleAngle_ax1_tmax_pct_si,-0.08823529411764706,-0.08144796380090498,-0.17194570135746606,-0.027149321266968326,1.0,0.083710407239819
sym_FootProgressAngles_ax1_rom_absdiff,-0.025210084033613446,-0.03571428571428571,-0.09502262443438914,0.04072398190045249,0.6774193548387096,0.0698125404007757
sym_FootProgressAngles_ax1_rom_si,-0.25210084033613445,-0.2398190045248869,-0.3393665158371041,-0.19457013574660634,1.0,0.08726567550096964
sym_FootProgressAngles_ax1_max_absdiff,0.20168067226890757,0.1875,0.15178571428571427,0.2850678733031674,1.0,0.08338720103425984
sym_FootProgressAngles_ax1_max_si,-0.18487394957983194,-0.16964285714285715,-0.2669683257918552,-0.12217194570135746,1.0,0.08209437621202326
sym_FootProgressAngles_ax1_tmax_pct_absdiff,-0.29411764705882354,-0.27601809954751133,-0.375,-0.25892857142857145,1.0,0.08088235294117646
sym_FootProgressAngles_ax1_tmax_pct_si,-0.046218487394957986,-0.06696428571428571,-0.10407239819004525,0.027149321266968326,0.7419354838709677,0.07336780866192631
sym_ASI_ax1_excursion_absdiff,0.19327731092436976,0.1875,0.13122171945701358,0.2669683257918552,1.0,0.07369101486748544
sym_ASI_path3d_si,0.08403361344537816,0.08597285067873303,0.026785714285714284,0.15178571428571427,1.0,0.06775210084033612
sym_KJC_ax1_excursion_absdiff,-0.07563025210084033,-0.06787330316742081,-0.14285714285714285,-0.013574660633484163,1.0,0.06722689075630252
sym_KJC_ax1_excursion_si,0.04201680672268908,0.03571428571428571,-0.017857142857142856,0.11312217194570136,0.7096774193548387,0.07110536522301228
sym_KJC_path3d_absdiff,0.04201680672268908,0.03167420814479638,-0.02262443438914027,0.11312217194570136,0.7419354838709677,0.07110536522301228
sym_KJC_path3d_si,0.0,0.0,-0.0625,0.06787330316742081,0.0967741935483871,0.06787330316742081
