channel,time_percent,control_median,n_control,level
RASI_ax3,35,934.8516845703125,14,secondary
RASI_ax3,36,934.2046356201172,14,secondary
RASI_ax3,37,933.1478576660156,14,secondary
RASI_ax3,38,932.0978088378906,14,secondary
RASI_ax3,39,930.8965454101562,14,secondary
RASI_ax3,40,929.3137359619141,14,secondary
RASI_ax3,41,927.0326690673828,14,secondary
RASI_ax3,42,924.3627319335938,14,secondary
RASI_ax3,43,922.0791625976562,14,secondary
RASI_ax3,44,919.6717987060547,14,secondary
RASI_ax3,45,917.0304870605469,14,secondary
RASI_ax3,46,914.2104339599609,14,secondary
RASI_ax3,47,911.5979766845703,14,secondary
RASI_ax3,48,909.1955108642578,14,secondary
RASI_ax3,49,906.8834533691406,14,secondary
RASI_ax3,50,904.5604400634766,14,secondary
RASI_ax3,51,902.4203033447266,14,secondary
RASI_ax3,52,900.4568328857422,14,secondary
RASI_ax3,53,898.8120574951172,14,secondary
RASI_ax3,54,898.0137176513672,14,secondary
RASI_ax3,55,897.4060363769531,14,secondary
RASI_ax3,56,896.9216613769531,14,secondary
RASI_ax3,57,896.4317169189453,14,secondary
RASI_ax3,58,896.1099090576172,14,secondary
RASI_ax3,59,896.3133850097656,14,secondary
RASI_ax3,60,897.2446746826172,14,secondary
RASI_ax3,61,899.3067626953125,14,secondary
RASI_ax3,62,901.8713073730469,14,secondary
RASI_ax3,63,903.7826843261719,14,secondary
RASI_ax3,64,906.1600036621094,14,secondary
RASI_ax3,65,908.14404296875,14,secondary
RASI_ax3,66,909.5637817382812,14,secondary
RASI_ax3,67,911.1149597167969,14,secondary
RASI_ax3,68,913.0446166992188,14,secondary
RASI_ax3,69,914.389892578125,14,secondary
