subject_id,channel,victimized,vel_rms,mean_abs_accel,n_extrema
S48,CentreOfMass_ax1,N,11.172129549019518,1.6763952904502364,8.0
S5,CentreOfMass_ax1,Y,14.178118332132676,1.0094644744203014,2.0
S7,CentreOfMass_ax1,Y,8.035799326266867,1.1727940586393664,7.0
S8,CentreOfMass_ax1,Y,9.875055677249945,1.193659639366219,10.0
S9,CentreOfMass_ax1,N,11.737255315858011,1.6239978029879452,6.0
S11,CentreOfMass_ax2,N,0.4901730576032013,0.09833748578480346,9.0
S12,CentreOfMass_ax2,N,0.6387682709619942,0.0865839947383987,4.0
S13,CentreOfMass_ax2,Y,0.6928450278357875,0.10045216663436847,6.0
S14,CentreOfMass_ax2,Y,0.3362130574079439,0.08270913664453323,10.0
S15,CentreOfMass_ax2,Y,0.31707955707058916,0.10738225828291768,10.0
S17,CentreOfMass_ax2,N,0.5941963057612837,0.17057692461234863,13.0
S19,CentreOfMass_ax2,Y,0.5309057273209873,0.028369653882216416,1.0
S2,CentreOfMass_ax2,N,0.6709041326663665,0.19532782904520002,11.0
S23,CentreOfMass_ax2,N,0.2483357486023209,0.05355837214768632,10.0
S26,CentreOfMass_ax2,Y,0.2712398888425218,0.07051437310314039,9.0
S27,CentreOfMass_ax2,Y,0.3104838583065137,0.050561983659269547,7.0
S3,CentreOfMass_ax2,Y,0.5923782973798067,0.07729843947153482,5.0
S30,CentreOfMass_ax2,N,0.8741363330499076,0.027239186761175944,0.0
S31,CentreOfMass_ax2,Y,0.6924779511068916,0.14595157512625737,10.0
S32,CentreOfMass_ax2,Y,0.7626655741104752,0.15292135313173627,5.0
S34,CentreOfMass_ax2,Y,0.4672171087386525,0.1607999165324595,12.0
S35,CentreOfMass_ax2,N,0.7420868541329013,0.16111067688471342,7.0
S37,CentreOfMass_ax2,Y,0.8654765814316827,0.17684345632298487,8.0
S38,CentreOfMass_ax2,Y,0.486061392357287,0.11062300740899567,8.0
S39,CentreOfMass_ax2,N,0.3131456333678975,0.08765265714310774,12.0
S4,CentreOfMass_ax2,Y,0.7863143783408745,0.1260927564760114,8.0
S40,CentreOfMass_ax2,N,0.6032121063712229,0.14585801630605413,12.0
S41,CentreOfMass_ax2,N,0.49037935655267223,0.07413730803141085,7.0
S42,CentreOfMass_ax2,N,0.5550923426622346,0.11404697548776387,6.0
S43,CentreOfMass_ax2,N,1.0109227568439414,0.10680923086862333,6.0
S46,CentreOfMass_ax2,Y,0.7019263918207168,0.18198459203267464,9.0
S48,CentreOfMass_ax2,N,0.46961985896767483,0.16066061480040772,13.0
S5,CentreOfMass_ax2,Y,0.8164715766193273,0.16441676704104005,9.0
S7,CentreOfMass_ax2,Y,0.5726023466360552,0.05974499374656585,2.0
S8,CentreOfMass_ax2,Y,0.4306018955681084,0.07803645454549288,5.0
S9,CentreOfMass_ax2,N,0.6393664747372731,0.13488096657003076,8.0
S11,CentreOfMass_ax3,N,1.2108992997076868,0.13937227732970506,4.0
S12,CentreOfMass_ax3,N,1.8359433584963358,0.19630727944245122,4.0
S13,CentreOfMass_ax3,Y,1.7402647377151697,0.19642361445900156,4.0
S14,CentreOfMass_ax3,Y,1.2879230483052166,0.13844408750474718,4.0
S15,CentreOfMass_ax3,Y,1.2320416160699394,0.13685409009557778,4.0
S17,CentreOfMass_ax3,N,1.7224647965690052,0.19533194175882737,4.0
S19,CentreOfMass_ax3,Y,1.8872764909625388,0.20564322826091044,4.0
S2,CentreOfMass_ax3,N,1.4415068482314386,0.16331370791547925,4.0
S23,CentreOfMass_ax3,N,1.5651819747324256,0.17558153661294462,4.0
S26,CentreOfMass_ax3,Y,1.089756795476881,0.11071411659645632,4.0
S27,CentreOfMass_ax3,Y,1.7026566144480382,0.17948805636838064,4.0
S3,CentreOfMass_ax3,Y,1.3104444220174463,0.14562429190257606,4.0
S30,CentreOfMass_ax3,N,1.8760483434844932,0.21926526066538074,4.0
S31,CentreOfMass_ax3,Y,1.7540908111905371,0.18424667185487498,4.0
S32,CentreOfMass_ax3,Y,1.7194307572981833,0.18847926568874454,4.0
S34,CentreOfMass_ax3,Y,1.3717770338214832,0.14906201336970212,4.0
S35,CentreOfMass_ax3,N,1.7734865001935216,0.22045898895312394,4.0
S37,CentreOfMass_ax3,Y,1.6851927400295648,0.18364785920355267,4.0
S38,CentreOfMass_ax3,Y,1.6240241016105064,0.17886837993164123,4.0
S39,CentreOfMass_ax3,N,1.3554625841356593,0.15166906353160198,4.0
S4,CentreOfMass_ax3,Y,1.487504911811919,0.16298745388269423,4.0
S40,CentreOfMass_ax3,N,1.8785197610557096,0.21403191790593926,4.0
S41,CentreOfMass_ax3,N,1.5525329277366249,0.17299098009308583,4.0
S42,CentreOfMass_ax3,N,1.3352303665532574,0.14884601094622882,4.0
S43,CentreOfMass_ax3,N,1.9794594251338538,0.21443559174314467,4.0
S46,CentreOfMass_ax3,Y,1.4090962284522501,0.15209039085341924,4.0
S48,CentreOfMass_ax3,N,1.4219817972492033,0.1703291870136917,4.0
S5,CentreOfMass_ax3,Y,1.8226499982149194,0.20236219612890477,4.0
S7,CentreOfMass_ax3,Y,1.8501898779305286,0.2068188392677744,4.0
S8,CentreOfMass_ax3,Y,1.644994603281496,0.17574430178379485,4.0
S9,CentreOfMass_ax3,N,1.4484755522877577,0.1579542731635734,4.0
